file,activity,samples,channels
dws 272.csv,Downstairs,50,6
dws 273.csv,Downstairs,50,6
dws 274.csv,Downstairs,50,6
dws 275.csv,Downstairs,50,6
dws 276.csv,Downstairs,50,6
dws 277.csv,Downstairs,50,6
dws 278.csv,Downstairs,50,6
dws 279.csv,Downstairs,50,6
dws 280.csv,Downstairs,50,6
dws 281.csv,Downstairs,50,6
dws 282.csv,Downstairs,50,6
dws 283.csv,Downstairs,50,6
dws 284.csv,Downstairs,50,6
dws 285.csv,Downstairs,50,6
dws 286.csv,Downstairs,50,6
dws 287.csv,Downstairs,50,6
dws 288.csv,Downstairs,50,6
dws 289.csv,Downstairs,50,6
dws 290.csv,Downstairs,50,6
dws 291.csv,Downstairs,50,6
dws 292.csv,Downstairs,50,6
dws 293.csv,Downstairs,50,6
dws 294.csv,Downstairs,50,6
dws 295.csv,Downstairs,50,6
dws 296.csv,Downstairs,50,6
dws 297.csv,Downstairs,50,6
dws 298.csv,Downstairs,50,6
dws 299.csv,Downstairs,50,6
dws 300.csv,Downstairs,50,6
dws 301.csv,Downstairs,50,6
dws 302.csv,Downstairs,50,6
dws 303.csv,Downstairs,50,6
dws 304.csv,Downstairs,50,6
dws 305.csv,Downstairs,50,6
dws 306.csv,Downstairs,50,6
dws 307.csv,Downstairs,50,6
dws 308.csv,Downstairs,50,6
dws 309.csv,Downstairs,50,6
dws 310.csv,Downstairs,50,6
dws 311.csv,Downstairs,50,6
dws 312.csv,Downstairs,50,6
dws 313.csv,Downstairs,50,6
dws 314.csv,Downstairs,50,6
dws 315.csv,Downstairs,50,6
dws 316.csv,Downstairs,50,6
dws 317.csv,Downstairs,50,6
dws 318.csv,Downstairs,50,6
dws 319.csv,Downstairs,50,6
dws 320.csv,Downstairs,50,6
dws 321.csv,Downstairs,50,6
dws 322.csv,Downstairs,50,6
dws 323.csv,Downstairs,50,6
dws 324.csv,Downstairs,50,6
dws 325.csv,Downstairs,50,6
dws 326.csv,Downstairs,50,6
dws 327.csv,Downstairs,50,6
dws 328.csv,Downstairs,50,6
dws 329.csv,Downstairs,50,6
dws 330.csv,Downstairs,50,6
dws 331.csv,Downstairs,50,6
dws 332.csv,Downstairs,50,6
dws 333.csv,Downstairs,50,6
dws 334.csv,Downstairs,50,6
dws 335.csv,Downstairs,50,6
dws 336.csv,Downstairs,50,6
dws 337.csv,Downstairs,50,6
dws 338.csv,Downstairs,50,6
dws 339.csv,Downstairs,50,6
dws 340.csv,Downstairs,50,6
dws 341.csv,Downstairs,50,6
dws 342.csv,Downstairs,50,6
dws 343.csv,Downstairs,50,6
dws 344.csv,Downstairs,50,6
dws 345.csv,Downstairs,50,6
dws 346.csv,Downstairs,50,6
dws 347.csv,Downstairs,50,6
dws 348.csv,Downstairs,50,6
dws 349.csv,Downstairs,50,6
dws 350.csv,Downstairs,50,6
FALL BCK 1.csv,Fall,50,6
FALL BCK 10.csv,Fall,50,6
FALL BCK 11.csv,Fall,50,6
FALL BCK 12.csv,Fall,50,6
FALL BCK 13.csv,Fall,50,6
FALL BCK 14.csv,Fall,50,6
FALL BCK 15.csv,Fall,50,6
FALL BCK 16.csv,Fall,50,6
FALL BCK 17.csv,Fall,50,6
FALL BCK 18.csv,Fall,50,6
FALL BCK 19.csv,Fall,50,6
FALL BCK 2.csv,Fall,50,6
FALL BCK 20.csv,Fall,50,6
FALL BCK 21.csv,Fall,50,6
FALL BCK 22.csv,Fall,50,6
FALL BCK 23.csv,Fall,50,6
FALL BCK 24.csv,Fall,50,6
FALL BCK 25.csv,Fall,50,6
FALL BCK 26.csv,Fall,50,6
FALL BCK 27.csv,Fall,50,6
FALL BCK 28.csv,Fall,50,6
FALL BCK 29.csv,Fall,50,6
FALL BCK 3.csv,Fall,50,6
FALL BCK 30.csv,Fall,50,6
FALL BCK 31.csv,Fall,50,6
FALL BCK 32.csv,Fall,50,6
FALL BCK 33.csv,Fall,50,6
FALL BCK 34.csv,Fall,50,6
FALL BCK 4.csv,Fall,50,6
FALL BCK 5.csv,Fall,50,6
FALL BCK 6.csv,Fall,50,6
FALL BCK 7.csv,Fall,50,6
FALL BCK 8.csv,Fall,50,6
FALL BCK 9.csv,Fall,50,6
FALL FRW 1.csv,Fall,50,6
FALL FRW 10.csv,Fall,50,6
FALL FRW 11.csv,Fall,50,6
FALL FRW 12.csv,Fall,50,6
FALL FRW 13.csv,Fall,50,6
FALL FRW 14.csv,Fall,50,6
FALL FRW 15.csv,Fall,50,6
FALL FRW 16.csv,Fall,50,6
FALL FRW 17.csv,Fall,50,6
FALL FRW 18.csv,Fall,50,6
FALL FRW 19.csv,Fall,50,6
FALL FRW 2.csv,Fall,50,6
FALL FRW 20.csv,Fall,50,6
FALL FRW 21.csv,Fall,50,6
FALL FRW 22.csv,Fall,50,6
FALL FRW 23.csv,Fall,50,6
FALL FRW 24.csv,Fall,50,6
FALL FRW 25.csv,Fall,50,6
FALL FRW 26.csv,Fall,50,6
FALL FRW 27.csv,Fall,50,6
FALL FRW 28.csv,Fall,50,6
FALL FRW 29.csv,Fall,50,6
FALL FRW 3.csv,Fall,50,6
FALL FRW 30.csv,Fall,50,6
FALL FRW 31.csv,Fall,50,6
FALL FRW 32.csv,Fall,50,6
FALL FRW 33.csv,Fall,50,6
FALL FRW 4.csv,Fall,50,6
FALL FRW 5.csv,Fall,50,6
FALL FRW 6.csv,Fall,50,6
FALL FRW 7.csv,Fall,50,6
FALL FRW 8.csv,Fall,50,6
FALL FRW 9.csv,Fall,50,6
FALL LFT 1.csv,Fall,50,6
FALL LFT 10.csv,Fall,50,6
FALL LFT 11.csv,Fall,50,6
FALL LFT 12.csv,Fall,50,6
FALL LFT 13.csv,Fall,50,6
FALL LFT 14.csv,Fall,50,6
FALL LFT 15.csv,Fall,50,6
FALL LFT 16.csv,Fall,50,6
FALL LFT 17.csv,Fall,50,6
FALL LFT 18.csv,Fall,50,6
FALL LFT 19.csv,Fall,50,6
FALL LFT 2.csv,Fall,50,6
FALL LFT 20.csv,Fall,50,6
FALL LFT 21.csv,Fall,50,6
FALL LFT 22.csv,Fall,50,6
FALL LFT 23.csv,Fall,50,6
FALL LFT 24.csv,Fall,50,6
FALL LFT 25.csv,Fall,50,6
FALL LFT 26.csv,Fall,50,6
FALL LFT 27.csv,Fall,50,6
FALL LFT 28.csv,Fall,50,6
FALL LFT 29.csv,Fall,50,6
FALL LFT 3.csv,Fall,50,6
FALL LFT 30.csv,Fall,50,6
FALL LFT 31.csv,Fall,50,6
FALL LFT 32.csv,Fall,50,6
FALL LFT 33.csv,Fall,50,6
FALL LFT 4.csv,Fall,50,6
FALL LFT 5.csv,Fall,50,6
FALL LFT 6.csv,Fall,50,6
FALL LFT 7.csv,Fall,50,6
FALL LFT 8.csv,Fall,50,6
FALL LFT 9.csv,Fall,50,6
FALL RGT 1.csv,Fall,50,6
FALL RGT 10.csv,Fall,50,6
FALL RGT 11.csv,Fall,50,6
FALL RGT 12.csv,Fall,50,6
FALL RGT 13.csv,Fall,50,6
FALL RGT 14.csv,Fall,50,6
FALL RGT 15.csv,Fall,50,6
FALL RGT 16.csv,Fall,50,6
FALL RGT 17.csv,Fall,50,6
FALL RGT 18.csv,Fall,50,6
FALL RGT 19.csv,Fall,50,6
FALL RGT 2.csv,Fall,50,6
FALL RGT 20.csv,Fall,50,6
FALL RGT 21.csv,Fall,50,6
FALL RGT 22.csv,Fall,50,6
FALL RGT 23.csv,Fall,50,6
FALL RGT 24.csv,Fall,50,6
FALL RGT 25.csv,Fall,50,6
FALL RGT 26.csv,Fall,50,6
FALL RGT 27.csv,Fall,50,6
FALL RGT 28.csv,Fall,50,6
FALL RGT 29.csv,Fall,50,6
FALL RGT 3.csv,Fall,50,6
FALL RGT 30.csv,Fall,50,6
FALL RGT 31.csv,Fall,50,6
FALL RGT 32.csv,Fall,50,6
FALL RGT 4.csv,Fall,50,6
FALL RGT 5.csv,Fall,50,6
FALL RGT 6.csv,Fall,50,6
FALL RGT 7.csv,Fall,50,6
FALL RGT 8.csv,Fall,50,6
FALL RGT 9.csv,Fall,50,6
FALL VRT 1.csv,Fall,50,6
FALL VRT 10.csv,Fall,50,6
FALL VRT 11.csv,Fall,50,6
FALL VRT 12.csv,Fall,50,6
FALL VRT 13.csv,Fall,50,6
FALL VRT 14.csv,Fall,50,6
FALL VRT 15.csv,Fall,50,6
FALL VRT 16.csv,Fall,50,6
FALL VRT 17.csv,Fall,50,6
FALL VRT 18.csv,Fall,50,6
FALL VRT 19.csv,Fall,50,6
FALL VRT 2.csv,Fall,50,6
FALL VRT 20.csv,Fall,50,6
FALL VRT 21.csv,Fall,50,6
FALL VRT 22.csv,Fall,50,6
FALL VRT 23.csv,Fall,50,6
FALL VRT 24.csv,Fall,50,6
FALL VRT 25.csv,Fall,50,6
FALL VRT 26.csv,Fall,50,6
FALL VRT 27.csv,Fall,50,6
FALL VRT 28.csv,Fall,50,6
FALL VRT 29.csv,Fall,50,6
FALL VRT 3.csv,Fall,50,6
FALL VRT 30.csv,Fall,50,6
FALL VRT 31.csv,Fall,50,6
FALL VRT 32.csv,Fall,50,6
FALL VRT 33.csv,Fall,50,6
FALL VRT 4.csv,Fall,50,6
FALL VRT 5.csv,Fall,50,6
FALL VRT 6.csv,Fall,50,6
FALL VRT 7.csv,Fall,50,6
FALL VRT 8.csv,Fall,50,6
FALL VRT 9.csv,Fall,50,6
jog 500.csv,Jogging,50,6
jog 501.csv,Jogging,50,6
jog 502.csv,Jogging,50,6
jog 503.csv,Jogging,50,6
jog 504.csv,Jogging,50,6
jog 505.csv,Jogging,50,6
jog 506.csv,Jogging,50,6
jog 507.csv,Jogging,50,6
jog 508.csv,Jogging,50,6
jog 509.csv,Jogging,50,6
jog 510.csv,Jogging,50,6
jog 511.csv,Jogging,50,6
jog 512.csv,Jogging,50,6
jog 513.csv,Jogging,50,6
jog 514.csv,Jogging,50,6
jog 515.csv,Jogging,50,6
jog 516.csv,Jogging,50,6
jog 517.csv,Jogging,50,6
jog 518.csv,Jogging,50,6
jog 519.csv,Jogging,50,6
jog 520.csv,Jogging,50,6
jog 521.csv,Jogging,50,6
jog 522.csv,Jogging,50,6
jog 523.csv,Jogging,50,6
jog 524.csv,Jogging,50,6
jog 525.csv,Jogging,50,6
jog 526.csv,Jogging,50,6
jog 527.csv,Jogging,50,6
jog 528.csv,Jogging,50,6
jog 529.csv,Jogging,50,6
jog 530.csv,Jogging,50,6
jog 531.csv,Jogging,50,6
jog 532.csv,Jogging,50,6
jog 533.csv,Jogging,50,6
jog 534.csv,Jogging,50,6
jog 535.csv,Jogging,50,6
jog 536.csv,Jogging,50,6
jog 537.csv,Jogging,50,6
jog 538.csv,Jogging,50,6
jog 539.csv,Jogging,50,6
jog 540.csv,Jogging,50,6
jog 541.csv,Jogging,50,6
jog 542.csv,Jogging,50,6
jog 543.csv,Jogging,50,6
jog 544.csv,Jogging,50,6
jog 545.csv,Jogging,50,6
jog 546.csv,Jogging,50,6
jog 547.csv,Jogging,50,6
jog 548.csv,Jogging,50,6
jog 549.csv,Jogging,50,6
jog 550.csv,Jogging,50,6
jog 551.csv,Jogging,50,6
jog 552.csv,Jogging,50,6
jog 553.csv,Jogging,50,6
jog 554.csv,Jogging,50,6
jog 555.csv,Jogging,50,6
jog 556.csv,Jogging,50,6
jog 557.csv,Jogging,50,6
jog 558.csv,Jogging,50,6
jog 559.csv,Jogging,50,6
jog 560.csv,Jogging,50,6
jog 561.csv,Jogging,50,6
jog 562.csv,Jogging,50,6
jog 563.csv,Jogging,50,6
jog 564.csv,Jogging,50,6
jog 565.csv,Jogging,50,6
jog 566.csv,Jogging,50,6
jog 567.csv,Jogging,50,6
jog 568.csv,Jogging,50,6
jog 569.csv,Jogging,50,6
jog 570.csv,Jogging,50,6
jog 571.csv,Jogging,50,6
jog 572.csv,Jogging,50,6
jog 573.csv,Jogging,50,6
jog 574.csv,Jogging,50,6
jog 575.csv,Jogging,50,6
jog 576.csv,Jogging,50,6
jog 577.csv,Jogging,50,6
jog 578.csv,Jogging,50,6
jog 579.csv,Jogging,50,6
jog 580.csv,Jogging,50,6
jog 581.csv,Jogging,50,6
jog 582.csv,Jogging,50,6
jog 583.csv,Jogging,50,6
jog 584.csv,Jogging,50,6
jog 585.csv,Jogging,50,6
jog 586.csv,Jogging,50,6
jog 587.csv,Jogging,50,6
jog 588.csv,Jogging,50,6
jog 589.csv,Jogging,50,6
jog 590.csv,Jogging,50,6
jog 591.csv,Jogging,50,6
jog 592.csv,Jogging,50,6
jog 593.csv,Jogging,50,6
jog 594.csv,Jogging,50,6
jog 595.csv,Jogging,50,6
jog 596.csv,Jogging,50,6
jog 597.csv,Jogging,50,6
jog 598.csv,Jogging,50,6
jog 599.csv,Jogging,50,6
jog 600.csv,Jogging,50,6
jog 601.csv,Jogging,50,6
jog 602.csv,Jogging,50,6
jog 603.csv,Jogging,50,6
jog 604.csv,Jogging,50,6
jog 605.csv,Jogging,50,6
jog 606.csv,Jogging,50,6
jog 607.csv,Jogging,50,6
jog 608.csv,Jogging,50,6
jog 609.csv,Jogging,50,6
jog 610.csv,Jogging,50,6
jog 611.csv,Jogging,50,6
jog 612.csv,Jogging,50,6
jog 613.csv,Jogging,50,6
jog 614.csv,Jogging,50,6
jog 615.csv,Jogging,50,6
jog 616.csv,Jogging,50,6
jog 617.csv,Jogging,50,6
jog 618.csv,Jogging,50,6
jog 619.csv,Jogging,50,6
jog 620.csv,Jogging,50,6
jog 621.csv,Jogging,50,6
jog 622.csv,Jogging,50,6
jog 623.csv,Jogging,50,6
jog 624.csv,Jogging,50,6
jog 625.csv,Jogging,50,6
jog 626.csv,Jogging,50,6
jog 627.csv,Jogging,50,6
jog 628.csv,Jogging,50,6
jog 629.csv,Jogging,50,6
jog 630.csv,Jogging,50,6
jog 631.csv,Jogging,50,6
jog 632.csv,Jogging,50,6
jog 633.csv,Jogging,50,6
jog 634.csv,Jogging,50,6
jog 635.csv,Jogging,50,6
jog 636.csv,Jogging,50,6
jog 637.csv,Jogging,50,6
jog 638.csv,Jogging,50,6
jog 639.csv,Jogging,50,6
jog 640.csv,Jogging,50,6
jog 641.csv,Jogging,50,6
jog 642.csv,Jogging,50,6
jog 643.csv,Jogging,50,6
jog 644.csv,Jogging,50,6
jog 645.csv,Jogging,50,6
jog 646.csv,Jogging,50,6
jog 647.csv,Jogging,50,6
jog 648.csv,Jogging,50,6
jog 649.csv,Jogging,50,6
LIE 1.csv,Lying,50,6
LIE 10.csv,Lying,50,6
LIE 100.csv,Lying,50,6
LIE 101.csv,Lying,50,6
LIE 102.csv,Lying,50,6
LIE 103.csv,Lying,50,6
LIE 104.csv,Lying,50,6
LIE 105.csv,Lying,50,6
LIE 106.csv,Lying,50,6
LIE 107.csv,Lying,50,6
LIE 108.csv,Lying,50,6
LIE 109.csv,Lying,50,6
LIE 11.csv,Lying,50,6
LIE 110.csv,Lying,50,6
LIE 111.csv,Lying,50,6
LIE 112.csv,Lying,50,6
LIE 113.csv,Lying,50,6
LIE 114.csv,Lying,50,6
LIE 115.csv,Lying,50,6
LIE 116.csv,Lying,50,6
LIE 117.csv,Lying,50,6
LIE 118.csv,Lying,50,6
LIE 119.csv,Lying,50,6
LIE 12.csv,Lying,50,6
LIE 120.csv,Lying,50,6
LIE 121.csv,Lying,50,6
LIE 122.csv,Lying,50,6
LIE 123.csv,Lying,50,6
LIE 124.csv,Lying,50,6
LIE 125.csv,Lying,50,6
LIE 13.csv,Lying,50,6
LIE 14.csv,Lying,50,6
LIE 15.csv,Lying,50,6
LIE 16.csv,Lying,50,6
LIE 17.csv,Lying,50,6
LIE 18.csv,Lying,50,6
LIE 19.csv,Lying,50,6
LIE 2.csv,Lying,50,6
LIE 20.csv,Lying,50,6
LIE 21.csv,Lying,50,6
LIE 22.csv,Lying,50,6
LIE 23.csv,Lying,50,6
LIE 24.csv,Lying,50,6
LIE 25.csv,Lying,50,6
LIE 26.csv,Lying,50,6
LIE 27.csv,Lying,50,6
LIE 28.csv,Lying,50,6
LIE 29.csv,Lying,50,6
LIE 3.csv,Lying,50,6
LIE 30.csv,Lying,50,6
LIE 31.csv,Lying,50,6
LIE 32.csv,Lying,50,6
LIE 33.csv,Lying,50,6
LIE 34.csv,Lying,50,6
LIE 35.csv,Lying,50,6
LIE 36.csv,Lying,50,6
LIE 37.csv,Lying,50,6
LIE 38.csv,Lying,50,6
LIE 39.csv,Lying,50,6
LIE 4.csv,Lying,50,6
LIE 40.csv,Lying,50,6
LIE 41.csv,Lying,50,6
LIE 42.csv,Lying,50,6
LIE 43.csv,Lying,50,6
LIE 44.csv,Lying,50,6
LIE 45.csv,Lying,50,6
LIE 46.csv,Lying,50,6
LIE 47.csv,Lying,50,6
LIE 48.csv,Lying,50,6
LIE 49.csv,Lying,50,6
LIE 5.csv,Lying,50,6
LIE 50.csv,Lying,50,6
LIE 51.csv,Lying,50,6
LIE 52.csv,Lying,50,6
LIE 53.csv,Lying,50,6
LIE 54.csv,Lying,50,6
LIE 55.csv,Lying,50,6
LIE 56.csv,Lying,50,6
LIE 57.csv,Lying,50,6
LIE 58.csv,Lying,50,6
LIE 59.csv,Lying,50,6
LIE 6.csv,Lying,50,6
LIE 60.csv,Lying,50,6
LIE 61.csv,Lying,50,6
LIE 62.csv,Lying,50,6
LIE 63.csv,Lying,50,6
LIE 64.csv,Lying,50,6
LIE 65.csv,Lying,50,6
LIE 66.csv,Lying,50,6
LIE 67.csv,Lying,50,6
LIE 68.csv,Lying,50,6
LIE 69.csv,Lying,50,6
LIE 7.csv,Lying,50,6
LIE 70.csv,Lying,50,6
LIE 71.csv,Lying,50,6
LIE 72.csv,Lying,50,6
LIE 73.csv,Lying,50,6
LIE 74.csv,Lying,50,6
LIE 75.csv,Lying,50,6
LIE 76.csv,Lying,50,6
LIE 77.csv,Lying,50,6
LIE 78.csv,Lying,50,6
LIE 79.csv,Lying,50,6
LIE 8.csv,Lying,50,6
LIE 80.csv,Lying,50,6
LIE 81.csv,Lying,50,6
LIE 82.csv,Lying,50,6
LIE 83.csv,Lying,50,6
LIE 84.csv,Lying,50,6
LIE 85.csv,Lying,50,6
LIE 86.csv,Lying,50,6
LIE 87.csv,Lying,50,6
LIE 88.csv,Lying,50,6
LIE 89.csv,Lying,50,6
LIE 9.csv,Lying,50,6
LIE 90.csv,Lying,50,6
LIE 91.csv,Lying,50,6
LIE 92.csv,Lying,50,6
LIE 93.csv,Lying,50,6
LIE 94.csv,Lying,50,6
LIE 95.csv,Lying,50,6
LIE 96.csv,Lying,50,6
LIE 97.csv,Lying,50,6
LIE 98.csv,Lying,50,6
LIE 99.csv,Lying,50,6
sit 1300.csv,Sitting,50,6
sit 1301.csv,Sitting,50,6
sit 1302.csv,Sitting,50,6
sit 1303.csv,Sitting,50,6
sit 1304.csv,Sitting,50,6
sit 1305.csv,Sitting,50,6
sit 1306.csv,Sitting,50,6
sit 1307.csv,Sitting,50,6
sit 1308.csv,Sitting,50,6
sit 1309.csv,Sitting,50,6
sit 1310.csv,Sitting,50,6
sit 1311.csv,Sitting,50,6
sit 1312.csv,Sitting,50,6
sit 1313.csv,Sitting,50,6
sit 1314.csv,Sitting,50,6
sit 1315.csv,Sitting,50,6
sit 1316.csv,Sitting,50,6
sit 1317.csv,Sitting,50,6
sit 1318.csv,Sitting,50,6
sit 1319.csv,Sitting,50,6
sit 1320.csv,Sitting,50,6
sit 1321.csv,Sitting,50,6
sit 1322.csv,Sitting,50,6
sit 1323.csv,Sitting,50,6
sit 1324.csv,Sitting,50,6
sit 1325.csv,Sitting,50,6
sit 1326.csv,Sitting,50,6
sit 1327.csv,Sitting,50,6
sit 1328.csv,Sitting,50,6
sit 1329.csv,Sitting,50,6
sit 1330.csv,Sitting,50,6
sit 1331.csv,Sitting,50,6
sit 1332.csv,Sitting,50,6
sit 1333.csv,Sitting,50,6
sit 1334.csv,Sitting,50,6
sit 1335.csv,Sitting,50,6
sit 1336.csv,Sitting,50,6
sit 1337.csv,Sitting,50,6
sit 1338.csv,Sitting,50,6
sit 1339.csv,Sitting,50,6
sit 1340.csv,Sitting,50,6
sit 1341.csv,Sitting,50,6
sit 1342.csv,Sitting,50,6
sit 1343.csv,Sitting,50,6
sit 1344.csv,Sitting,50,6
sit 1345.csv,Sitting,50,6
sit 1346.csv,Sitting,50,6
sit 1347.csv,Sitting,50,6
sit 1348.csv,Sitting,50,6
sit 1349.csv,Sitting,50,6
sit 1350.csv,Sitting,50,6
sit 1351.csv,Sitting,50,6
sit 1352.csv,Sitting,50,6
sit 1353.csv,Sitting,50,6
sit 1354.csv,Sitting,50,6
sit 1355.csv,Sitting,50,6
sit 1356.csv,Sitting,50,6
sit 1357.csv,Sitting,50,6
sit 1358.csv,Sitting,50,6
sit 1359.csv,Sitting,50,6
sit 1360.csv,Sitting,50,6
sit 1361.csv,Sitting,50,6
sit 1362.csv,Sitting,50,6
sit 1363.csv,Sitting,50,6
sit 1364.csv,Sitting,50,6
sit 1365.csv,Sitting,50,6
sit 1366.csv,Sitting,50,6
sit 1367.csv,Sitting,50,6
sit 1368.csv,Sitting,50,6
sit 1369.csv,Sitting,50,6
sit 1370.csv,Sitting,50,6
sit 1371.csv,Sitting,50,6
sit 1372.csv,Sitting,50,6
sit 1373.csv,Sitting,50,6
sit 1374.csv,Sitting,50,6
sit 1375.csv,Sitting,50,6
sit 1376.csv,Sitting,50,6
sit 1377.csv,Sitting,50,6
sit 1378.csv,Sitting,50,6
sit 1379.csv,Sitting,50,6
sit 1380.csv,Sitting,50,6
sit 1381.csv,Sitting,50,6
sit 1382.csv,Sitting,50,6
sit 1383.csv,Sitting,50,6
sit 1384.csv,Sitting,50,6
sit 1385.csv,Sitting,50,6
sit 1386.csv,Sitting,50,6
sit 1387.csv,Sitting,50,6
sit 1388.csv,Sitting,50,6
sit 1389.csv,Sitting,50,6
sit 1390.csv,Sitting,50,6
sit 1391.csv,Sitting,50,6
sit 1392.csv,Sitting,50,6
sit 1393.csv,Sitting,50,6
sit 1394.csv,Sitting,50,6
sit 1395.csv,Sitting,50,6
sit 1396.csv,Sitting,50,6
sit 1397.csv,Sitting,50,6
sit 1398.csv,Sitting,50,6
sit 1399.csv,Sitting,50,6
sit 1400.csv,Sitting,50,6
sit 1401.csv,Sitting,50,6
sit 1402.csv,Sitting,50,6
sit 1403.csv,Sitting,50,6
sit 1404.csv,Sitting,50,6
sit 1405.csv,Sitting,50,6
sit 1406.csv,Sitting,50,6
sit 1407.csv,Sitting,50,6
sit 1408.csv,Sitting,50,6
sit 1409.csv,Sitting,50,6
sit 1410.csv,Sitting,50,6
sit 1411.csv,Sitting,50,6
sit 1412.csv,Sitting,50,6
sit 1413.csv,Sitting,50,6
sit 1414.csv,Sitting,50,6
sit 1415.csv,Sitting,50,6
sit 1416.csv,Sitting,50,6
sit 1417.csv,Sitting,50,6
sit 1418.csv,Sitting,50,6
sit 1419.csv,Sitting,50,6
sit 1420.csv,Sitting,50,6
sit 1421.csv,Sitting,50,6
sit 1422.csv,Sitting,50,6
sit 1423.csv,Sitting,50,6
sit 1424.csv,Sitting,50,6
sit 1425.csv,Sitting,50,6
sit 1426.csv,Sitting,50,6
sit 1427.csv,Sitting,50,6
sit 1428.csv,Sitting,50,6
sit 1429.csv,Sitting,50,6
sit 1430.csv,Sitting,50,6
sit 1431.csv,Sitting,50,6
sit 1432.csv,Sitting,50,6
sit 1433.csv,Sitting,50,6
sit 1434.csv,Sitting,50,6
sit 1435.csv,Sitting,50,6
sit 1436.csv,Sitting,50,6
sit 1437.csv,Sitting,50,6
sit 1438.csv,Sitting,50,6
sit 1439.csv,Sitting,50,6
sit 1440.csv,Sitting,50,6
sit 1441.csv,Sitting,50,6
sit 1442.csv,Sitting,50,6
sit 1443.csv,Sitting,50,6
sit 1444.csv,Sitting,50,6
sit 1445.csv,Sitting,50,6
sit 1446.csv,Sitting,50,6
sit 1447.csv,Sitting,50,6
sit 1448.csv,Sitting,50,6
sit 1449.csv,Sitting,50,6
std 1600.csv,Standing,50,6
std 1601.csv,Standing,50,6
std 1602.csv,Standing,50,6
std 1603.csv,Standing,50,6
std 1604.csv,Standing,50,6
std 1605.csv,Standing,50,6
std 1606.csv,Standing,50,6
std 1607.csv,Standing,50,6
std 1608.csv,Standing,50,6
std 1609.csv,Standing,50,6
std 1610.csv,Standing,50,6
std 1611.csv,Standing,50,6
std 1612.csv,Standing,50,6
std 1613.csv,Standing,50,6
std 1614.csv,Standing,50,6
std 1615.csv,Standing,50,6
std 1616.csv,Standing,50,6
std 1617.csv,Standing,50,6
std 1618.csv,Standing,50,6
std 1619.csv,Standing,50,6
std 1620.csv,Standing,50,6
std 1621.csv,Standing,50,6
std 1622.csv,Standing,50,6
std 1623.csv,Standing,50,6
std 1624.csv,Standing,50,6
std 1625.csv,Standing,50,6
std 1626.csv,Standing,50,6
std 1627.csv,Standing,50,6
std 1628.csv,Standing,50,6
std 1629.csv,Standing,50,6
std 1630.csv,Standing,50,6
std 1631.csv,Standing,50,6
std 1632.csv,Standing,50,6
std 1633.csv,Standing,50,6
std 1634.csv,Standing,50,6
std 1635.csv,Standing,50,6
